Index
6744
11187
1220
14640
10
13320
836
9196
5939
6654
110
13420
14046
1320
14520
483
484
9800
6665
7612
14267
10537
3630
10648
1088
2662
4113
13914
736
4466
10637
10284
13430
7139
13673
4839
11495
1210
5213
11021
1220
5313
9437
2914
120
14630
13783
8843
5807
9669
473
14277
10647
6655
1330
121
7502
14036
847
13310
373
3314
5203
8705
4103
3684
13683
3619
8233
4356
12997
10658
7804
725
11484
9928
12293
2854
10758
1027
7061
13986
3944
4003
11329
4846
3211
11906
7743
6006
6952
10351
6893
11626
10890
302
7457
9377
5077
3261
14311
7975
7875
978
13672
11731
4719
13370
3024
48
665
1078
6731
14284
5572
11858
6347
11247
3992
14025
3152
6302
8580
9922
14580
1628
3398
12468
10289
2546
13557
2596
1396
14343
5868
8711
13607
9624
5361
2294
8759
10471
1446
3377
1577
10885
14514
1271
9311
6165
8480
6539
11384
7132
12044
912
13254
12821
2061
9739
6589
2233
2534
4158
9493
4300
7930
12760
7991
357
13848
2668
9068
13545
13145
11973
307
11984
7386
550
8228
1386
4350
13195
12034
3750
13606
538
528
599
7007
8238
2595
8100
12710
13188
4781
10226
2304
2893
489
9251
9201
14112
6649
7744
13788
6368
3266
5439
12331
3146
5697
11726
10896
3084
4
8525
14227
5119
7628
1133
11242
5071
2144
7144
8348
8546
9371
6049
5445
5268
770
11373
4058
3761
11010
12584
14288
6958
14575
8822
1154
12095
11571
1325
6775
4897
841
1825
11312
12947
3817
13920
4532
7573
8096
12110
2904
8030
1093
198
9085
4602
10158
10098
12429
5918
128
3503
9680
10406
13722
1572
853
5455
9185
5873
7425
12594
9019
9674
11924
3986
9195
1925
2057
2420
10477
5565
6160
10945
14031
0
5555
1779
385
3701
4118
8642
5924
8987
9448
1462
6292
13431
5379
7391
5929
11553
1685
14402
14272
1083
9441
11743
6291
8712
5742
6525
4487
4074
9258
10097
4883
8158
11173
2188
12136
11736
3454
115
13078
6595
4361
65
2108
5202
14388
12220
2530
5330
9686
12421
11501
14160
6973
1859
8587
13299
10821
12858
14585
5517
12825
14635
13365
2518
5089
13315
13516
10274
3896
2053
7618
8187
9932
4663
14102
1723
7330
967
11132
4440
6801
607
11770
12756
2837
