theta,omega,torque
1.245803983320091,-0.7931034482758621,0.9310344827586206
-0.4874885152122092,-0.2413793103448276,-1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,1.0,-1.0
-0.920811639845284,-1.0,1.0
1.5707963267948966,-1.0,-1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,-1.0
-1.5707963267948966,-1.0,-1.0
0.0541653905791343,1.0,0.1724137931034481
-1.5707963267948966,-0.1034482758620689,0.1034482758620689
0.1624961717374031,-1.0,-0.1724137931034483
1.5707963267948966,0.0344827586206897,-0.0344827586206897
0.0541653905791343,0.1724137931034481,1.0
0.2708269528956719,1.0,-1.0
1.5707963267948966,-1.0,0.1724137931034481
-1.5707963267948966,-1.0,1.0
-1.5707963267948966,-1.0,0.0344827586206897
1.137473202161822,0.1034482758620689,-1.0
-1.5707963267948966,1.0,-0.0344827586206897
1.5707963267948966,1.0,-0.0344827586206897
-0.1624961717374029,-1.0,-1.0
0.7041500775287468,1.0,1.0
-0.7041500775287467,1.0,1.0
-1.5707963267948966,0.3103448275862068,-1.0
1.5707963267948966,-1.0,1.0
-0.8124808586870155,0.7931034482758621,-1.0
0.3791577340539407,-1.0,1.0
-1.5707963267948966,-0.1034482758620689,1.0
1.5707963267948966,0.4482758620689655,0.7241379310344827
-1.5707963267948966,-0.5172413793103449,-0.5862068965517242
0.9208116398452844,0.6551724137931034,-0.5172413793103449
1.0291424210035531,-1.0,-0.7241379310344828
1.5707963267948966,-0.1724137931034483,1.0
-1.029142421003553,-1.0,-0.6551724137931034
-1.5707963267948966,0.5862068965517242,-0.4482758620689655
1.5707963267948966,-0.4482758620689655,-1.0
-0.920811639845284,1.0,-0.5172413793103449
1.5707963267948966,0.4482758620689655,-0.8620689655172413
