RMSE,Variance
1.681066254524402,2470.286
1.891108916925881,3757.5908203125
1.5766101822813652,3781.5556640625
1.4650049761520565,4459.57763671875
1.5124143642797254,4740.08544921875
1.5399763510303988,5350.03271484375
1.4889527936000322,5566.34033203125
1.4390112396930037,5542.0341796875
1.3297868488767806,5458.44775390625
1.2560092455537704,5137.61669921875
1.2899488999232822,5739.89892578125
1.2421554532252366,5647.38134765625
1.2085547901407108,5326.02978515625
1.1879786001848134,5627.68798828125
1.174590435094422,5694.67578125
0.9999252270081492,5810.16162109375
1.1218258893749835,6416.0908203125
1.1461535073624984,6077.06591796875
1.1938437042925787,6213.71533203125
1.2047431036582716,6377.2021484375
1.2342061282369132,6200.19140625
1.094341714096967,6797.9091796875
1.094068992405255,6439.94189453125
1.060675339197389,6815.087890625
1.0511909081677997,6634.36328125
1.0537035630405929,7131.12451171875
1.024095374871805,7123.64501953125
1.0280888231158103,6950.7060546875
1.052536112837512,7125.3505859375
1.0146824797047398,7276.6455078125
1.0683510786974897,7093.72509765625
1.005693270967565,6932.89404296875
1.0131314252853052,8444.740234375
0.7948630039309678,7464.7392578125
0.837760898177842,8627.8134765625
0.8687639354313392,9002.3994140625
0.8305289195590305,8755.34375
0.8748300894639238,7803.3408203125
0.8041857809528697,8374.93359375
0.7314821863461746,8897.048828125
0.6452160596526355,8664.53515625
0.7528062558960106,8741.8271484375
0.676320085755241,8113.646484375
0.6669641490077313,8512.7421875
0.6445132957833964,8387.2080078125
0.5989444884585648,8164.76123046875
0.6551012781067674,8841.537109375
0.6896889086200313,8993.05859375
0.6335075067745631,8669.072265625
0.6009929023912062,8309.037109375
0.651829864409469,8609.263671875
0.635203876658627,8342.490234375
0.6353059801658185,8316.904296875
0.671606918653555,8634.826171875
0.5910005218827874,8488.5673828125
0.6248162387689026,8558.0703125
0.6925990292832925,9306.4296875
0.6456172370846125,8296.37109375
0.675889096103953,8474.4609375
0.6268590470146933,9089.2861328125
0.6078346062805391,8746.80078125
0.6561590475609336,8519.3828125
0.6433477294671144,8832.4453125
0.5903371998275839,8420.033203125
0.6262332933629917,8601.93359375
0.6044652401823292,8743.1455078125
0.611281827804455,8100.88525390625
0.6278088362718182,8492.76171875
0.6069316973732628,8603.4267578125
0.6004975615513324,8645.189453125
0.57108655393034,8306.0390625
0.5925267521689602,8240.4619140625
0.6197871814363842,8382.9658203125
0.6668905393438298,8907.986328125
0.5745938846177405,8450.392578125
0.6187026485342408,8486.48046875
0.6246624180296215,8315.3798828125
0.5732724454316723,8771.6884765625
0.5959255368923287,9093.0283203125
0.5848290418770871,8858.9853515625
0.5797104315973269,8790.140625
0.6359061921064837,8920.193359375
0.6116622289166808,8638.0068359375
0.6284121989451679,9176.0419921875
0.6033707151311845,9216.625
0.5640003183437661,9223.0595703125
0.5725796433587451,8932.4833984375
0.5787181496046938,9171.85546875
0.5608828292621498,8994.583984375
0.5470844654889087,8672.7275390625
0.6124675728164537,9416.3525390625
0.5882791688069706,9314.7607421875
0.6270530281076785,9816.77734375
0.5819896002679931,9173.6884765625
0.5721445754376618,8863.1806640625
0.5561194492804737,9324.314453125
0.6022191599676946,9236.9404296875
0.5912732761540045,9311.537109375
0.5225809000629938,8710.19921875
0.576510746688864,9314.517578125
0.5570724039816469,9403.9365234375
0.6046129452113111,9791.4169921875
0.6294100305356738,9110.1318359375
0.5706110206791091,8669.0537109375
0.6580123543210206,9953.0595703125
0.5699633994356045,9435.4609375
0.6149746098647358,9570.939453125
0.5846919587441167,9018.2109375
0.5971119860242301,9230.78125
0.5447318328778042,8698.4052734375
0.539707065036941,8499.6708984375
0.5634693454384966,8988.4951171875
0.5093328517717151,8989.7861328125
0.5272859356893065,8722.4814453125
