RMSE,Variance
1.6124667058967357,49551.0182194693
1.1959363749870406,45549.98582189041
1.217708710875888,44416.79699705672
1.0581478250923606,38320.71146218929
1.003631102907072,36527.0022205519
1.008243821526831,34087.39119569787
1.017531090697356,31962.45642566456
1.0552067878980596,28817.924530838045
1.040271834085914,26229.09774598958
0.9656872194466504,29138.22237416158
0.8626980481001306,31647.22427075119
0.8737091277570298,36185.521775101486
0.8696411408525734,34924.05717460842
0.869839835585498,34153.65993498174
0.8693898946027201,33636.244193014
0.8662907887822539,32433.742563904943
0.8649935908309233,31675.0600717408
0.901778382484122,32030.83054494611
0.9051929004992844,31365.84085842756
0.905201742942496,30745.36161529488
0.9049284018031898,29995.704509044503
0.9127548108665768,29207.08829689269
0.9048973654366024,28908.63674549038
0.8060190693235185,32704.75248300176
0.7764871689891439,32677.053946923555
0.8105201207872779,33158.70161635691
0.7914989674772548,32704.3475487538
0.7899640273615486,32090.85741114361
0.7957019063322802,31669.30299759235
0.7867362968216371,31612.10104382414
0.8168384686582602,31267.72327197009
0.8089987933378585,30872.171168970952
0.7429711896650844,31628.792246328583
0.7420881577679286,31424.31498793976
0.724464701105296,30949.13093997135
0.7233968385952856,30547.70412110692
0.7085089544797676,30071.14643616241
0.7076902254001177,29773.12495482524
0.707851219799023,29479.51524290828
0.7021857123323777,29001.71655797809
0.6987113550750325,28615.55841648848
0.6872240596768392,28871.86511086125
0.6473052384621444,29362.231452028413
0.64416056085854,29210.57124505504
0.6403478567765402,28811.39808955065
0.6398620943175235,28470.08892378929
0.6350698670167174,28119.58550249172
0.6330023151933398,27893.660984613314
0.633146314249357,27622.809133790448
0.6242154988079955,27997.37283753453
0.6176021757188751,27835.668914663784
0.6164748256527768,27676.66479334148
0.6041582620524397,27755.641590567822
0.5905797424320626,27947.239540244427
0.5680946322939152,27946.262458606263
0.5584718513757067,27631.737668819875
0.5359740649776127,27394.48080656177
0.5352247681589432,27087.18303122957
0.53404877866676,26818.41555452213
0.536875784459526,26567.295388701827
0.5351617676081103,26494.68487667628
0.5346202933158014,26278.11385653763
0.5322321566876639,26053.020313303445
0.5206110487508767,25961.568827514257
0.5004582170009269,25440.347715467746
0.4972788903949366,25570.624419516105
0.4965214359671522,25375.79042290818
0.4954272708546822,25154.238972693885
0.4958838367585101,24979.47124087813
0.4957528867483195,24781.630543598352
0.4974744616055981,24640.58632428196
0.4973234588796585,24505.34166865289
0.510868221828228,24847.008372905533
0.4853807743927962,24507.079894558345
0.4794837297219447,24337.366764517243
0.4787734796785208,23894.906948759257
0.4571568032562675,23827.05699153979
0.4573983764586071,23720.47000517302
0.4555584620013467,23595.058242470423
0.4545130244470085,23492.398567230688
0.4533553609573109,23301.5389477829
0.4506319731692154,23160.02408879828
0.4454941815138624,23103.95496954487
0.4434133557503998,22730.92052396361
0.4372081154922163,22712.56185192964
0.434013274747501,22436.828295750973
0.436657320679553,22310.490140311707
0.435544008314689,21963.404450720867
0.4359233328828129,21842.75364295611
0.4352476363499696,21694.965501129704
0.4303440190306488,21461.423541226297
0.431420978364748,21281.97737821569
0.4316134037288323,21111.25469915897
0.431529885539381,20983.171855813813
0.4304386856685377,20883.90838516309
0.433028425483838,20721.80538412689
0.4327737948704993,20595.328624301263
0.4298331216530397,20529.20681093776
0.4295064622717928,20405.517604049965
0.4232841984508281,20846.492367386385
0.3834250930116995,21242.08442659908
0.380845795939687,21065.200604606303
0.3794329417427169,20957.601702638265
0.3795971910514935,20844.114255344422
0.3785171186339721,20699.37400071843
0.3774212310751287,20547.412461621858
0.3728273737022788,20451.57409007432
0.3721853100627072,20283.69872758331
0.3723322331245779,20127.57042512116
0.3720574578365348,20016.0437962094
0.371851498491986,19907.11631356127
0.3696377812767098,19792.013102400662
0.3709030179054726,19704.002358775782
0.3655508606592304,19797.035183275835
0.3606375183484801,19800.772615527592
0.360329571016721,19685.169208571577
0.354931314802721,19606.650564937405
0.3548026913012713,19488.596042913723
0.3544964026282851,19346.451538587506
0.3545502748599843,19241.87889149212
0.3337247369266511,19748.90468616485
0.3314463057992787,19658.38441994572
0.3292217177057139,19544.14238421302
0.3291825361812593,19453.98250307276
0.3287396603915491,19319.195223180675
0.3293021198045779,19302.53675831609
0.3279226788931665,19248.61354966309
0.3280108100872245,19128.27898810207
0.322364537737549,19217.022521943367
0.3223676707454254,19121.75004664416
0.3182482166493435,19112.46901788729
0.3171605585388251,19069.12410155848
0.3173091611871845,18958.17836433861
0.3169293015640759,18837.43970065828
0.307526920864042,19018.45307442527
0.3069172376639767,18932.62064718356
0.3066071871836503,18851.11703054315
0.3070672010155439,18852.129292357546
0.3059461410774403,18756.250714970807
0.3049353469294179,18569.00745483707
0.3041428782016284,18421.144310765045
0.3034937525289877,18311.008822270487
0.3021299427596773,18229.41737581184
0.3007971992195704,18115.237525235945
0.2987853503820528,18049.365867411085
0.2986720632828528,17976.70407071536
0.2942987052885663,17917.536345232234
0.2946850558841766,17849.518579183044
0.2943322446693243,17758.463876365568
0.2942868355290565,17688.71478272143
0.2941900751255835,17592.569652941867
0.294252980211062,17510.473571664606
0.2940809813543624,17418.437236816928
0.2937785586212528,17640.14515918573
0.2910479031164702,17651.892054193802
0.2907776555213662,17542.14776485376
0.2907798936816132,17467.712612522897
0.2905914427798881,17357.2855884229
0.2904677429088967,17255.7460306196
0.2896342619898644,17164.841992972546
0.2881961603510057,17132.62244378348
0.2872137118536736,17073.66628627012
0.2866692928503063,16998.503756316117
0.2866988685724709,16927.955699444698
0.2866224587494718,16870.360547730597
