length_scale,nu
0.259285417851723,1.5
0.2592854178517229,1.5
0.2592854178517229,1.5
1.9346261936650275,1.5
2.1654163921018705,1.5
2.4371907226034093,1.5
2.479192237492964,1.5
2.8661091973463493,1.5
3.30106951766954,1.5
3.5980288224861883,1.5
3.9611304715283664,1.5
4.327442654221107,1.5
4.652647705270886,1.5
4.976721446568318,1.5
5.271092709268885,1.5
5.565143503916036,1.5
5.855025735714743,1.5
6.115013246404178,1.5
6.265532314831646,1.5
6.52471369318879,1.5
6.768171102271976,1.5
7.0094028543411335,1.5
7.238754086079959,1.5
7.443922982823769,1.5
7.664664100234657,1.5
7.882872500402861,1.5
8.096456047939169,1.5
8.305192696745587,1.5
8.50880528432631,1.5
8.684796440871585,1.5
8.880447831566652,1.5
9.07220277567475,1.5
9.257931420220569,1.5
9.43420784865038,1.5
9.615651154337932,1.5
9.793219405371492,1.5
9.947063171860345,1.5
10.115365347216107,1.5
10.28516162335736,1.5
10.452582014841832,1.5
10.615678785543444,1.5
10.778451400097898,1.5
10.92797995737517,1.5
11.08282735231206,1.5
11.236411033908407,1.5
11.390151358744076,1.5
11.541657784625087,1.5
11.690944260241857,1.5
11.839633899336821,1.5
