RMSE,Variance,Train_RMSE
2.832208630556195,358803.06,2.8143665487422167
3.165506406872338,690381.8125,3.149130057477957
2.945053827744849,111869.765625,2.928115801536684
2.5153588813677694,328106.53125,2.506084848143189
1.9437173124177145,179731.9375,1.9266126215749464
1.5880685957842418,159702.1875,1.5821800170387408
1.702121470750937,137037.65625,1.693623999012932
1.309410971178059,146915.171875,1.297880971663521
1.433787891712078,159147.109375,1.4319595833261538
1.4073620945388616,153544.375,1.4052972231629477
1.2884060136575006,111860.8984375,1.2818375812780896
1.2680555156173985,153010.578125,1.248662991333683
1.0905673009258698,159524.140625,1.0813332160162517
1.123569941649094,153087.515625,1.1156842209745148
1.3024768815202994,119365.21875,1.2904604649656548
1.1374253759213948,140801.0625,1.1303519661704535
1.2652806920194852,112370.328125,1.252510910764842
1.2253990375543051,64300.9453125,1.2131917296869854
1.0708932343563842,155721.03125,1.0641256458414872
1.2639087653564327,95156.0859375,1.258177358967664
1.095682061400436,157639.09375,1.0890905985055217
1.0919556965857835,153095.671875,1.0852901754577378
1.089859742032565,155872.3125,1.0819633249199754
1.1065015043677702,164485.46875,1.0979702014763828
1.109758393612139,161290.78125,1.1014358160473003
1.0834567532430497,166533.578125,1.0747514970345118
1.1191119480415863,169999.234375,1.1109928040841923
1.1229905705221446,167110.234375,1.1149578966797042
0.9919678139919308,98713.59375,0.9871635801691926
0.9795758147778584,86407.1328125,0.9746175365779728
0.9807699133650438,87376.4609375,0.976151195939817
0.986956061843879,93501.5625,0.9829933613340924
0.5753076071627061,85798.125,0.5719414978229507
0.9893339192547989,178638.6875,0.9812520857582558
1.063212697769969,190143.921875,1.0534270825832561
