length_scale,nu
2.975879654518924,1.5
2.975879654518924,1.5
3.5572575303435063,1.5
3.046566151096039,1.5
3.811177138384106,1.5
3.6850458968043593,1.5
3.719049376139884,1.5
3.695480166049119,1.5
3.4711323271492067,1.5
3.474870874287405,1.5
3.550405744489207,1.5
3.20584154781356,1.5
3.210247372183175,1.5
3.085795756204915,1.5
3.0997366773826047,1.5
3.133087627141557,1.5
2.8808341432595133,1.5
2.900189355528813,1.5
2.772079214072469,1.5
2.790993169355613,1.5
2.7933210213553528,1.5
2.750924105720097,1.5
2.549628723788299,1.5
2.560531486561465,1.5
2.435378031094753,1.5
2.44361727300627,1.5
2.4016790554598986,1.5
2.410069181238853,1.5
2.3935817835879094,1.5
2.3968765832362635,1.5
2.352589851432048,1.5
2.3630748795784084,1.5
2.3732957957478646,1.5
2.375375203475787,1.5
2.3870675572834514,1.5
2.401746899202524,1.5
2.4176863156776807,1.5
2.425182643249281,1.5
2.186685374378544,1.5
2.155309960812577,1.5
2.101720184237436,1.5
2.1086728074812573,1.5
2.1034335598666747,1.5
2.0530094041116085,1.5
2.059189125520387,1.5
2.063088578381587,1.5
2.0683587523102966,1.5
2.06412924193803,1.5
2.0663322804981603,1.5
2.069484518533924,1.5
2.060097273428115,1.5
2.0645316224075203,1.5
2.072491265768562,1.5
2.080503068018888,1.5
2.083359009466551,1.5
2.091721736316634,1.5
2.09441127954146,1.5
2.0949709938739045,1.5
2.093337026127609,1.5
2.099731397704585,1.5
2.1043831967107147,1.5
2.109887702366647,1.5
2.116641629448444,1.5
2.121759022343188,1.5
2.046033296772015,1.5
2.052268282322657,1.5
2.058583387244824,1.5
2.0439432908242527,1.5
2.047385393234034,1.5
2.0505898115929235,1.5
2.057638123923548,1.5
2.063159166190882,1.5
2.0700696751673515,1.5
2.071565311237458,1.5
2.075890518626847,1.5
2.0819369125215004,1.5
2.08866101854016,1.5
2.087760504564176,1.5
2.093265886655625,1.5
2.0988244977417057,1.5
2.1003506714527287,1.5
2.0968329731665247,1.5
2.1023038012487043,1.5
2.1033510005907687,1.5
2.095951021888045,1.5
2.1006774958147174,1.5
2.0731035221405985,1.5
2.0776108696499875,1.5
2.0783226439855627,1.5
2.0844211294820374,1.5
2.0817391402680587,1.5
2.0202044930818883,1.5
2.0200864162221905,1.5
2.023788435082789,1.5
2.0257778016004866,1.5
2.027237394405866,1.5
2.0280283401203305,1.5
2.024075361919225,1.5
2.00276441027204,1.5
2.0033803850614955,1.5
1.9984588266795864,1.5
1.9942791787433585,1.5
1.9985825514240008,1.5
2.003154471189888,1.5
2.008088473080932,1.5
1.999276690246488,1.5
2.0033226858788304,1.5
1.9983079888418576,1.5
2.0023738632822634,1.5
1.98233961541018,1.5
1.9886441964751824,1.5
1.9952451843225107,1.5
1.9788345294186584,1.5
1.982501521995152,1.5
1.9867337244526249,1.5
1.9818195307281583,1.5
1.9814641492808536,1.5
1.9854492806653712,1.5
1.9827889841396007,1.5
1.9870296978623296,1.5
1.955934259862868,1.5
1.960139794969368,1.5
1.9652762174076115,1.5
1.968751168671761,1.5
1.9739250351571649,1.5
1.9765773115073075,1.5
1.9786321992036,1.5
1.978839683544112,1.5
1.982383873545379,1.5
1.958600818592027,1.5
1.9615921809881305,1.5
1.955696343429768,1.5
1.9583462874616808,1.5
1.962747966597684,1.5
1.9659954812506568,1.5
1.9700562637634245,1.5
1.973949469547534,1.5
1.9785375840198696,1.5
1.9822640516525103,1.5
1.9866015350810264,1.5
1.9714172813285449,1.5
1.975337927671181,1.5
1.9793948349610364,1.5
1.9799001120481616,1.5
1.9838147793557213,1.5
1.987682636203305,1.5
1.9333794022492965,1.5
1.9369265046712447,1.5
1.940612722244,1.5
1.9421143255364908,1.5
1.9459535350648105,1.5
1.9501114203168453,1.5
1.953724907762849,1.5
1.956049968761404,1.5
1.9562461257748949,1.5
1.9597117600113725,1.5
1.9544046376556123,1.5
1.957960793212072,1.5
1.9618146780956127,1.5
1.9645661314444376,1.5
1.964695004784698,1.5
1.966880263111756,1.5
1.918364947996316,1.5
1.9221577813374984,1.5
1.9249056992997813,1.5
1.9222467995253023,1.5
1.92312785738597,1.5
1.9258565466925488,1.5
1.9293713891165647,1.5
1.9281013695484104,1.5
1.9030152147260613,1.5
1.906487194704584,1.5
1.9102958283730764,1.5
1.9135396159075853,1.5
1.917140848854856,1.5
1.9197845343351667,1.5
1.9226467222459944,1.5
1.925974112854625,1.5
1.927791265201644,1.5
1.930794856210288,1.5
1.9340513396466783,1.5
1.9346285350270829,1.5
1.938290106047324,1.5
1.9354909950650103,1.5
1.9387028223312217,1.5
1.941520415759848,1.5
1.9437004769066832,1.5
1.9461786233000664,1.5
1.949409511582385,1.5
1.95168870941923,1.5
1.954055088454512,1.5
1.9554816661783505,1.5
1.9262198572529927,1.5
1.929626155085384,1.5
1.9305707925048297,1.5
1.933571930784384,1.5
1.911519655126373,1.5
1.9077854256852729,1.5
1.910995430761262,1.5
1.906888436567848,1.5
1.907924193689952,1.5
1.909440571654355,1.5
1.911124502317272,1.5
1.910941263652673,1.5
1.9117166228628728,1.5
1.9139347013677108,1.5
1.9171623541347969,1.5
1.9202332647186653,1.5
1.9232809302651,1.5
1.925065440473488,1.5
1.880292827144178,1.5
1.8831833793467687,1.5
1.8860304667072425,1.5
1.889100248599174,1.5
1.890561613764812,1.5
1.8936715354616955,1.5
1.8966956559079384,1.5
1.89904873354176,1.5
1.9022500685710253,1.5
1.9048616358745003,1.5
1.906921246054276,1.5
1.901197434587576,1.5
1.9039814501381125,1.5
1.906546068078572,1.5
1.9095747191172985,1.5
1.912372819643264,1.5
1.915369553593538,1.5
1.9177430840438288,1.5
1.9181651358166985,1.5
1.919927970183068,1.5
1.9229710217870293,1.5
1.917681548578297,1.5
1.9203623847421447,1.5
1.923400956152434,1.5
1.9240130515470768,1.5
1.9262072528974403,1.5
1.925892536924472,1.5
1.9244787020525709,1.5
1.9261165046733624,1.5
1.921931719080819,1.5
1.9228282407570336,1.5
1.925730292686988,1.5
1.9282802452022605,1.5
1.90212595212313,1.5
1.90177846454472,1.5
1.904669662714085,1.5
1.9069575599607496,1.5
1.9092211062381983,1.5
1.9118745438067808,1.5
1.9144212242689056,1.5
1.917096951584592,1.5
1.8917812177306244,1.5
1.8933395657315009,1.5
1.8959420145006791,1.5
1.898638726128616,1.5
1.885237412080496,1.5
1.887453878761018,1.5
1.8890912371539927,1.5
1.8901270344794896,1.5
1.8924223912127447,1.5
1.8947892922022145,1.5
1.8948083547939083,1.5
1.8972048792107228,1.5
1.897141935487885,1.5
1.8997522065831944,1.5
1.9024501773081053,1.5
1.9037992060218505,1.5
1.905757651985005,1.5
1.908215528134204,1.5
1.910165768841528,1.5
1.9116478955956755,1.5
1.9143430251129736,1.5
1.8989559401841305,1.5
1.90154206382425,1.5
1.8911340912578296,1.5
1.8937155080839727,1.5
1.8961969600989708,1.5
1.898371823050724,1.5
1.8988587588854868,1.5
1.9012230150255969,1.5
1.9030209549485624,1.5
1.9048928707817416,1.5
1.906731003381199,1.5
1.902146096079604,1.5
1.890300490014264,1.5
1.8921512453447584,1.5
1.894646023323692,1.5
1.896868882746094,1.5
1.8992736690784136,1.5
