theta,omega,torque
-1.1374732021618217,-0.1034482758620689,0.7241379310344827
1.137473202161822,0.6551724137931034,0.3103448275862068
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,0.3793103448275863,-0.6551724137931034
1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,-1.0
-1.5707963267948966,1.0,1.0
-0.3791577340539405,1.0,-1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,1.0
-0.0541653905791343,-1.0,-1.0
-1.5707963267948966,1.0,-1.0
0.1624961717374031,-1.0,1.0
1.5707963267948966,-1.0,-0.1034482758620689
-1.5707963267948966,1.0,0.9310344827586206
1.5707963267948966,0.1034482758620689,-1.0
-1.5707963267948966,-1.0,-0.0344827586206897
1.5707963267948966,1.0,1.0
0.1624961717374031,1.0,-0.0344827586206897
1.4624655456366278,1.0,-1.0
0.2708269528956719,-0.0344827586206897,1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,-1.0,-1.0
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,1.0,-1.0
-0.3791577340539405,1.0,1.0
1.5707963267948966,-0.0344827586206897,1.0
1.5707963267948966,-1.0,0.1724137931034481
-0.0541653905791343,-1.0,-1.0
-1.5707963267948966,0.9310344827586206,1.0
1.5707963267948966,1.0,-1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,0.2413793103448276
-1.5707963267948966,1.0,1.0
1.5707963267948966,1.0,1.0
-0.0541653905791343,0.0344827586206897,0.1034482758620689
-1.5707963267948966,-0.3793103448275862,-1.0
-0.2708269528956717,-0.1034482758620689,-0.1724137931034483
1.4624655456366278,-0.1724137931034483,-1.0
1.5707963267948966,1.0,0.8620689655172413
-1.5707963267948966,1.0,-1.0
-1.5707963267948966,-1.0,0.1724137931034481
-1.4624655456366278,1.0,-1.0
1.4624655456366278,-1.0,-1.0
1.5707963267948966,-1.0,1.0
0.1624961717374031,1.0,-1.0
-0.1624961717374029,-0.9310344827586208,-1.0
1.5707963267948966,0.9310344827586206,-1.0
1.5707963267948966,-0.1724137931034483,1.0
-0.0541653905791343,1.0,1.0
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,0.1034482758620689,0.9310344827586206
1.5707963267948966,1.0,-0.1724137931034483
-0.4874885152122092,-1.0,1.0
0.1624961717374031,-0.0344827586206897,-0.0344827586206897
1.5707963267948966,-1.0,1.0
-1.5707963267948966,-1.0,1.0
1.4624655456366278,1.0,1.0
-1.5707963267948966,1.0,-0.5172413793103449
-0.1624961717374029,-1.0,1.0
1.5707963267948966,-1.0,-0.4482758620689655
-1.5707963267948966,-0.9310344827586208,-1.0
-0.2708269528956717,-0.2413793103448276,-0.9310344827586208
1.5707963267948966,-0.3793103448275862,1.0
0.0541653905791343,1.0,0.9310344827586206
-1.5707963267948966,1.0,-0.3103448275862068
1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,0.8620689655172413
-1.5707963267948966,0.1034482758620689,1.0
-1.5707963267948966,1.0,-0.2413793103448276
1.5707963267948966,0.3793103448275863,-0.9310344827586208
0.4874885152122092,-1.0,-0.3103448275862068
-1.5707963267948966,-1.0,-1.0
0.595819296370478,1.0,-1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,-1.0
-1.5707963267948966,1.0,-0.8620689655172413
1.5707963267948966,1.0,-0.8620689655172413
1.5707963267948966,-1.0,0.8620689655172413
-1.4624655456366278,-1.0,1.0
-1.5707963267948966,1.0,1.0
-1.5707963267948966,0.1034482758620689,-1.0
