RMSE,Variance,Train_RMSE
2.506627883151193,30710.307,2.4908847111654544
2.011026795775737,31178.806640625,1.995883180945036
1.7184076872303813,36648.7578125,1.7103769148515262
1.758870668293096,34119.875,1.7518051669423196
1.6408220755443452,38675.10546875,1.6361860571295668
1.4486420888062184,38867.9453125,1.443059532503319
1.41749359047188,35698.22265625,1.4119940743299768
1.3556817931051448,40244.7578125,1.348586993027829
1.261609253981976,43366.484375,1.2509084585619148
1.2945927004783382,54318.68359375,1.2829040742020033
1.3484918280186766,61454.1171875,1.3346865280436977
1.353581165801523,63280.01171875,1.3360013086254154
1.3546936704065011,59205.65625,1.3394857564997664
1.393573952579485,68803.8125,1.3775132805558252
1.4047375980780998,64330.91015625,1.3907802208280728
1.3241363056849638,61548.75390625,1.3139612326125654
1.4226652471632,65000.95703125,1.4127756520937291
1.370467402253451,61379.69140625,1.361316740353783
1.3543180112142843,58279.4375,1.347574450833833
1.3839391638490333,61633.29296875,1.3736819016361874
1.3034835772996982,62865.171875,1.295761873808298
1.309034595040604,65558.8203125,1.2974921445218583
1.3299138849241936,68863.3984375,1.3187341450691243
1.3018730159298002,67695.3203125,1.2928459351952737
1.2126189945343109,63223.2890625,1.205087943545221
1.2454045094001636,64713.921875,1.2361464102911737
1.2659935415641108,64147.6484375,1.257810770624995
1.333910337763892,66497.9140625,1.3261496123233516
1.3519718652466235,71555.5234375,1.34196224155081
1.3601046809240074,68004.796875,1.351811496765329
1.3050745221354627,64608.265625,1.2989706024526866
1.1410312719020994,58146.76171875,1.1342241668162527
1.2049290364826013,49988.24609375,1.2013481324240232
1.2251192187999096,47846.03125,1.2214181697877242
1.279158299152042,41404.84765625,1.2768376937077122
1.2314949420136323,44002.7421875,1.2284757399621629
1.2306475135873969,44170.55859375,1.227634700400794
1.2202730954586256,42762.45703125,1.217651150484103
1.22911250422732,40893.67578125,1.226817372891004
1.1849211781033056,48221.44921875,1.1823615066759177
1.1782990170235896,48967.41796875,1.1758717288549192
1.1928172494763412,52774.1875,1.1903471555397194
1.2029785390930832,46674.72265625,1.2013761939452348
1.154319393054705,41266.46484375,1.1521275301793965
1.134275928373831,56681.5078125,1.1304583769330423
1.1453033466630074,50215.13671875,1.142326788923584
1.1174722820828669,42342.734375,1.1147515360951064
1.143816584541839,44036.6640625,1.142001098911966
1.163869220904233,45844.71875,1.1622742498787422
1.1620259267768402,52354.859375,1.1608165795257852
1.1785987861966207,46304.35546875,1.1774427613368008
1.1443521463134998,48668.27734375,1.1440567678850642
1.1193965779710529,43439.5625,1.1180538818871175
1.1519256790412291,50566.6953125,1.1502748949366612
1.1728734165789498,46310.171875,1.172661292626787
1.1495814711583323,56890.3046875,1.1482378243006648
1.1023155021045332,44772.46484375,1.1011494087736386
1.0989018044343295,48170.10546875,1.096930925070565
1.1203997232652574,47884.11328125,1.1195515391688204
1.1054990590110592,51354.5390625,1.1037769562532262
1.077748688764773,48732.03125,1.0759011558273806
1.104642973509181,46460.3984375,1.1028130101879925
1.1265516335655903,52147.67578125,1.125727214621285
1.0903424110699518,46676.8359375,1.0887503049241083
1.070825889139974,45225.05078125,1.068912103574957
1.062340169416177,43109.91015625,1.0607447793214193
1.027963422124526,37791.8125,1.0249462308230737
1.0539087436996215,37452.78515625,1.051506599149198
1.0345795870084342,42710.94140625,1.0318425903967376
1.003728238170401,41038.11328125,1.0013805725530205
1.0191187999585734,37297.51171875,1.0177258111775025
1.054122325415616,38732.72265625,1.0526094467243787
0.9754041978060942,36746.625,0.9728408496215766
0.964588135815186,40396.03515625,0.962395128265225
0.9243557275951628,40055.328125,0.922415093063776
0.8987070654013927,41519.296875,0.8969892798092198
0.9295190630137256,40615.21484375,0.9271411754222194
0.8615829207136716,41856.98828125,0.8597784263514948
0.854464702970073,42509.22265625,0.8514644326535994
0.931709701053158,44346.984375,0.9304108037127806
0.923225189360694,39496.89453125,0.9205590506403024
0.8744564080723426,39852.19921875,0.8721489703070784
0.8672310134913581,44183.64453125,0.865226037265345
0.8589789059757036,39798.625,0.8572711046014145
0.8737338567009205,38368.27734375,0.8716177446453703
0.8366660818826792,38105.58984375,0.8354490704644679
0.8185117643993993,42807.78125,0.81672718988058
0.809917889066677,39147.31640625,0.8066693231951911
0.8371918034641159,40933.91796875,0.8347868118316044
0.8148338612447333,38623.5,0.8132124287224144
0.8002488570654743,41085.92578125,0.8001603105074067
0.771862136384661,38819.5234375,0.7721991417211075
0.7674831775495898,40472.86328125,0.766158025661562
0.8429110969313959,45203.66796875,0.8409309227716936
0.7538006073802088,39366.85546875,0.7509401456477178
0.9087873026346586,45154.76171875,0.9014286007200132
0.8852274920232966,42257.1484375,0.8807170464588889
0.814215323625028,39732.57421875,0.811141420856848
0.8346978349203156,38332.86328125,0.8297307169516613
0.7654685944199042,44648.26953125,0.763607602940915
0.7238246898120544,38315.57421875,0.7233839768428427
0.713030673487573,40296.04296875,0.7126804059756805
0.6987801600263386,33578.65234375,0.6981002454089444
0.6648689132765138,38338.6171875,0.6650983972842749
0.7575425211846963,36789.12109375,0.759328909374062
0.712941057383424,35424.6953125,0.7123965397334401
0.7051334368488963,33700.9921875,0.7063506757150727
0.6910146197226167,36969.421875,0.692832558349276
0.6791414559805482,32958.93359375,0.6803763963398536
0.7060738283940352,36387.703125,0.7084498878406387
0.6848860017601986,36457.89453125,0.6872705734512846
0.6910183982464279,38140.125,0.6937013772581477
0.6633446522770444,32689.412109375,0.665717103002915
0.6756174281316838,33701.28515625,0.6774899495037858
0.6692312938968147,35932.15234375,0.670629599933332
0.6872251271856178,36243.27734375,0.6892121165184592
0.6811623820774092,37610.26953125,0.6824324468620805
0.6755777254342997,31432.244140625,0.6756459485469203
0.6939657632464021,35451.859375,0.6922853987870202
0.6568766546433951,35049.4296875,0.6585212386108887
0.6577028643720738,36385.8046875,0.6590045251999919
0.7009044474741748,39778.8984375,0.7013506033603067
0.6884993372332116,37950.4296875,0.6879835492402081
0.6599683646060831,35022.70703125,0.6610843651271953
0.6818375265469091,33922.97265625,0.6824201819869975
0.6768826524471596,38170.51953125,0.677122039266685
0.643981270547853,38491.6015625,0.6449941412838999
0.7885657318290425,44184.9375,0.7817582218897714
0.6881478544497652,36114.6640625,0.6846865206422448
0.6631017266274617,36287.8203125,0.6617674201215963
0.6792125673547096,36581.3359375,0.6775174667134788
0.6914108068679213,34971.984375,0.6897701740510648
0.6332343234055992,34717.02734375,0.6331656759420551
0.6501754760139957,33172.05859375,0.6512246228379293
0.6629824658707688,32428.384765625,0.6668111890671153
0.6800262143830829,35020.71875,0.6828481983522978
0.6732122204624036,35326.796875,0.6766210498430704
0.6671322013738905,34930.12109375,0.671292930742873
0.6319171195033271,32787.7890625,0.637388848615646
0.6496655104169466,30208.69921875,0.658191095284911
0.6477319076089911,32398.74609375,0.6539039874698305
0.6406782817765255,36153.7421875,0.6467884516325844
