theta,omega
0.8189110360045141,-1.0460718660222161
0.8821858124577673,-1.0499822721925622
0.9454768882590738,-1.053571752973112
1.008784971232872,-1.0568258088655487
1.0721107005752526,-1.0597312792286722
1.135454644948458,-1.0622763925667038
1.1988173001932108,-1.064450815043623
1.2621990870494944,-1.0662456943470389
1.3256003494249948,-1.0676536968825272
1.3890213529794821,-1.0686690389838085
1.4524622840149328,-1.0692875120198282
1.515923248679609,-1.0695065012650669
1.579404277956504,-1.0693249979447383
1.6429053061531909,-1.0687436064270925
1.7064262023802073,-1.0677645434470426
1.7699667504885839,-1.0663916309718255
1.8335266554413197,-1.0646302817212483
1.8971055438146982,-1.062487480802477
1.9607029655024768,-1.059971758773344
2.024318395506176,-1.0570931588526014
2.087951236514603,-1.0538631961854483
2.151600819143387,-1.0502948202174793
2.215266410821832,-1.0464023520915304
2.278947212487877,-1.042201434538253
2.342642358693212,-1.0377089664332457
2.40635092916506,-1.0329430393097048
2.470071949200067,-1.0279228628170565
2.5338043513865505,-1.022668691220264
2.5975471370090735,-1.0172017145722685
2.6612991607049996,-1.0115440171119745
2.7250592639026276,-1.005718460717914
2.7888261599839637,-0.9997485714797943
2.8525988544046452,-0.9936585093079106
2.916375979941542,-0.9874729136844121
2.980156313593596,-0.9812167887925846
3.0439385793817793,-0.9749154547833497
-3.2372332464275693,-0.9548142606740093
-3.173450320652746,-0.9484930070645682
-3.1096680288889424,-0.9421780287024834
-3.045887634024429,-0.9358948848192077
-2.982110425001933,-0.9296689889143084
-2.9183375523992434,-0.9235255511229937
-2.854570454737978,-0.9174893945256609
-2.790810231641458,-0.9115849440400006
-2.727058069968963,-0.9058360692077635
-2.663315090954493,-0.9002659939903189
-2.599582481629956,-0.8948972321231005
-2.535861273505911,-0.8897514519064267
-2.4721524937990402,-0.8848494145130477
-2.4084571191443613,-0.8802108844826593
-2.3447760716327886,-0.8758545493300854
-2.281110215162933,-0.8717979441566884
-2.2174603520048617,-0.8680573811677023
-2.1538272196046266,-0.8646478843812648
-2.0902114831039063,-0.8615831269272882
-2.026613742383732,-0.858875380553554
-1.963034529750826,-0.8565354713685142
-1.8994742958598123,-0.8545727290066146
-1.8359334150531417,-0.8529949541239165
-1.7724121837255957,-0.8518083886234951
-1.7089108185578348,-0.8510176973795068
-1.6454294572808723,-0.8506259408104804
-1.5819681560653303,-0.8506345586327521
-1.5185268909594138,-0.8510433967074407
-1.455105557146638,-0.8518506830378598
-1.3917039696606914,-0.8530530443335308
-1.3283218641821293,-0.8546455215542518
-1.264958893605697,-0.8566216129826268
-1.2016146460538193,-0.8589732204632553
-1.1382886237550058,-0.8616908019171996
-1.0749802591092068,-0.8647633350335387
-1.0116889137766683,-0.8681783812945045
-0.9484138794123768,-0.8719221414878134
-0.8851543851769118,-0.8759795003317646
-0.8219095972239622,-0.8803340980630587
-0.7586786226544124,-0.8849683945867977
-0.6954605133514234,-0.889863739591645
-0.6322542697889563,-0.895000447487268
-0.5690588462248878,-0.900357874736872
-0.5058731506929903,-0.9059145066256798
-0.4426960535065548,-0.9116480395671591
-0.3795263907881486,-0.9175354691980159
-0.3163629712622541,-0.9235531819811159
-0.2532045777920796,-0.9296770503248277
-0.19004997242514196,-0.9358825282328705
-0.12689790212420182,-0.9421447473971378
-0.06374710360866458,-0.9484386158377731
-0.0005963093040347207,-0.954738916715995
0.0625557496034371,-0.9610204064862261
0.1257103362188461,-0.9672579165754654
0.18886870355467697,-0.9734264519978633
0.2520320895280684,-0.9795012900671329
0.31520171201111236,-0.9854580781070919
0.3783787639946747,-0.9912729298491374
0.4415644089889417,-0.9969225201122419
0.504759777921344,-1.00238417304896
0.5679659596292101,-1.0076359621262447
0.6311839990602001,-1.0126567923223162
0.6944148985669368,-1.01742647553062
0.757659605675084,-1.0219258274332623
0.8209190135324633,-1.0261367331972318
0.8841939565338914,-1.0300422233353121
0.9474852069067781,-1.0336265423807316
1.010793471807396,-1.0368752111766941
1.0741193896236492,-1.0397750910870314
1.1374635283305847,-1.0423144325265874
1.2008263829720804,-1.044482924751297
1.2642083734858582,-1.0462717391699063
1.327609842960691,-1.0476735664734917
1.3910310562233301,-1.0486826477515794
1.4544721987314408,-1.0492947995028326
1.51793338045466,-1.0495074324533478
1.581414617182745,-1.0493195628981342
1.6449158569995623,-1.0487318217274406
1.7084369631510885,-1.047746450936801
1.7719777187052423,-1.0463672978051832
1.83553782773854,-1.0445998003621118
1.8991169159806691,-1.0424509686323344
1.96271453250103,-1.0399293576197781
2.026330151492479,-1.0370450344422395
2.0899631747623384,-1.0338095377785734
2.153612932384434,-1.0302358389504542
2.2172786934394653,-1.0263382821398277
2.2809596541233894,-1.0221325286143956
2.3446549501122247,-1.0176354981167994
2.4083636604643974,-1.0128653012617963
2.472084801580429,-1.0078411732323667
2.5358173306640985,-1.0025833589389082
2.5995602235576394,-0.9971130886682888
2.663312343067175,-0.9914524519108264
2.72707253068693,-0.9856243226782531
2.790839493449333,-0.9796522382820166
2.8546122444728854,-0.9735603668009806
2.9183894139917497,-0.9673733524696243
2.9821697780249923,-0.9611162093623805
3.045952060745999,-0.9548142606746428
-3.235219764928594,-0.9347130569036456
-3.171436835764062,-0.928391602557262
-3.1076545538509674,-0.9220768299766087
-3.0438741943369,-0.9157942944026877
-2.980097011946751,-0.9095694190090542
-2.9163241928222563,-0.9034273959525654
-2.8525571516258266,-0.8973930463273495
-2.7887970057419267,-0.8914907888950863
-2.725044933247303,-0.8857444840806818
-2.661302054318376,-0.880177346399973
-2.5975695579925038,-0.8748118747832622
-2.533848473994927,-0.869669725924538
-2.4701398290121177,-0.8647716458343487
-2.406444599192613,-0.860137382858576
-2.3427637060716746,-0.8557856070695634
-2.279098012939355,-0.8517338349484539
-2.2154483214139917,-0.847998358980882
-2.151815368251062,-0.8445941824482484
-2.08819982018769,-0.8415349583632227
-2.024602270800957,-0.8388329329550809
-1.9610232552975981,-0.8364989106384759
-1.8974632233156572,-0.8345421971494082
-1.833922548279363,-0.832970568706678
-1.7704015257003154,-0.8317902423361783
-1.7069003714295918,-0.8310058574306372
-1.643419222325873,-0.830620449069236
-1.579958133611829,-0.830635431823346
-1.5165170805270132,-0.8310506255925987
-1.4530959573983138,-0.831864232819912
-1.3896945784092118,-0.8330728548279879
-1.3263126783991528,-0.8346715074648526
-1.2629499095805963,-0.8366536636118531
-1.1996058590015408,-0.8390112021366789
-1.13628002821708,-0.8417345566154791
-1.0729718488562399,-0.8448126816920225
-1.0096806818375121,-0.8482331165505653
-0.9464058183926667,-0.851982039871072
-0.883146486512818,-0.8560443169713987
-0.8199018519193716,-0.8604035680068353
-0.7566710210995928,-0.8650422344026903
