theta,omega,torque
0.1624961717374031,0.5172413793103448,-0.3793103448275862
-1.4624655456366278,0.2413793103448276,-0.4482758620689655
1.5707963267948966,1.0,-0.1034482758620689
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,1.0,-0.9310344827586208
1.5707963267948966,-1.0,1.0
-1.354134764478359,1.0,1.0
1.0291424210035531,-1.0,-1.0
1.5707963267948966,-1.0,-0.8620689655172413
1.5707963267948966,1.0,1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,-1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,1.0,-1.0
-1.354134764478359,-1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,-1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,-1.0,-1.0
1.0291424210035531,1.0,-1.0
1.5707963267948966,-1.0,-1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,-1.0,-0.4482758620689655
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,-1.0
1.5707963267948966,-1.0,-1.0
-0.3791577340539405,1.0,0.7241379310344827
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,-0.4482758620689655,-0.1724137931034483
1.137473202161822,1.0,1.0
-0.4874885152122092,-1.0,1.0
-1.5707963267948966,1.0,-1.0
-0.5958192963704779,1.0,-1.0
1.5707963267948966,-1.0,-1.0
-0.4874885152122092,-1.0,-1.0
-1.5707963267948966,-0.3103448275862068,1.0
1.5707963267948966,1.0,1.0
0.4874885152122092,-1.0,1.0
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,1.0
-1.1374732021618217,1.0,1.0
1.5707963267948966,1.0,1.0
1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,0.1724137931034481
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,0.1034482758620689
-1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,-0.7931034482758621,-1.0
1.5707963267948966,1.0,1.0
1.5707963267948966,0.0344827586206897,-0.9310344827586208
0.4874885152122092,-1.0,-1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,-1.0,0.6551724137931034
1.5707963267948966,0.0344827586206897,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,-0.4482758620689655,-1.0
-0.5958192963704779,1.0,1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,-1.0,-1.0
1.5707963267948966,-1.0,1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,1.0
1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,1.0
-1.5707963267948966,1.0,0.4482758620689655
1.5707963267948966,-1.0,1.0
-1.5707963267948966,1.0,0.4482758620689655
-1.5707963267948966,1.0,0.1034482758620689
1.5707963267948966,1.0,1.0
-1.5707963267948966,-1.0,1.0
1.5707963267948966,-1.0,1.0
1.5707963267948966,-1.0,0.5172413793103448
-1.5707963267948966,1.0,0.9310344827586206
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,-1.0,-0.4482758620689655
1.5707963267948966,-1.0,1.0
1.5707963267948966,1.0,1.0
0.595819296370478,-1.0,1.0
