RMSE,Variance,Train_RMSE
15.994437497861917,29867.27796573232,15.99644801613038
15.954358028559614,29855.168154711024,15.982738273423848
15.924245547323324,29839.22427327861,15.955848833989911
15.898099841743283,29805.867464121664,15.927339356994072
15.85461952152853,29776.66756231588,15.88230233006092
15.803889306433264,29701.75543505581,15.83071846213187
15.719454929682597,29663.88544869657,15.74335339457419
15.67667904887576,29612.573066548564,15.697867312453708
15.639480665678422,29569.815631041027,15.667386017341196
15.586893944521517,29552.67933909365,15.616902766750211
15.554707155300507,29533.49714910952,15.58677504032906
15.52276959212828,29486.411615180587,15.559986406457933
15.448109011630256,29449.29540881608,15.496535861393893
15.365804509481714,29426.30139040552,15.427546125604712
15.313833782492935,29404.298067801137,15.385251801562932
15.271058743474184,29371.482212801697,15.3486066078996
15.268754217383073,29358.01271533308,15.345573730850411
15.255543144233256,29352.95573541852,15.330909004293895
15.24903274332107,29349.04494151549,15.323397777171287
15.243284090874786,29343.697510483467,15.317072407564629
15.234525782453252,29334.11892859549,15.307564307048525
15.158430194156283,29314.010141312283,15.247513662494333
15.122245656187468,29300.171598143654,15.218469297874092
15.10869998738987,29290.142782224262,15.190563092681955
15.10211281080806,29283.23086350109,15.170927119907605
15.095926059725336,29274.836965962782,15.158260385926262
15.086350251244738,29259.01786204379,15.144306020189374
15.04324759891477,29203.233167796312,15.08176764713684
14.972653312242231,29169.31387884218,14.999350546595242
14.92094031476074,29130.65188961839,14.938182689372752
14.86710101164106,29088.38640943953,14.886301982391876
14.819157773743443,29033.12440539716,14.840450198293787
14.714868981468182,28991.08756267025,14.741786665735916
14.694968490312291,28977.816599637303,14.71958526148624
14.680451392505242,28967.68698871443,14.701132371621693
14.666088150285686,28952.76533604132,14.68547954082617
14.60523574904768,28923.7692624544,14.618056624692494
14.59268890363313,28910.49115182203,14.60168924524148
14.586493277629764,28906.5605795121,14.597300118364888
14.578628974687875,28901.52766887136,14.592614571835824
14.57717220974312,28879.664507683254,14.589611200606656
14.574473486800247,28875.250689126955,14.582398970052472
14.572726427760818,28871.732527681663,14.578840693972625
14.55034492325253,28864.99534727025,14.556268689923767
14.539652998706297,28856.92303069091,14.543324083587484
14.537329505784582,28853.337618913167,14.536940344844172
14.527065506173733,28846.30322193017,14.521027306972751
14.506165429339834,28831.13504014198,14.491407602780844
14.413243091678506,28769.763372773945,14.39979273850258
0.6968938933010359,1150.1909479898286,0.6858074691406495
0.6953174951268477,1092.4784818785731,0.6841208915303011
0.6916577969624187,1046.5303552027517,0.6801915133964859
0.692167793956514,1014.7230618902051,0.6806274700955437
0.6909592779440482,967.5752599855044,0.6792799638349266
0.7001625711122301,968.6795045921958,0.6880140017014287
0.6947170930135734,941.100887448013,0.6827627100273662
0.6940850544383266,927.7263670158763,0.682449968011279
0.690640766665367,920.2319272258858,0.6791281711838807
0.6907158003082279,898.2400152095972,0.6792585849010239
0.6577622535119173,769.1854518499099,0.6472753738117967
0.6580520935920564,773.0521758344125,0.6482978068526454
0.6533385215639479,776.0258475949145,0.64382757694647
0.6438315677348315,814.6153059661492,0.634044464600748
0.6493100011193116,772.8707309997425,0.6392912001071264
