length_scale,nu
3.3947235773482136,1.5
3.394723577348213,1.5
2.810662139788882,1.5
3.4736059616255943,1.5
4.184131431660643,1.5
4.293991354287269,1.5
3.9514140496906895,1.5
3.949060234475516,1.5
2.826945552753896,1.5
2.833217489611809,1.5
2.79181174520875,1.5
2.7899004758153905,1.5
2.745854875772244,1.5
2.751085354461858,1.5
2.690782889056438,1.5
2.7412922310632024,1.5
2.746233474002943,1.5
2.732123476231091,1.5
2.7431104011624936,1.5
2.748581626385068,1.5
2.763313942893657,1.5
2.4106990375382016,1.5
2.4423372288643383,1.5
2.474858072666792,1.5
2.391490426646576,1.5
2.4000939831911925,1.5
2.4021735512386058,1.5
2.219334019241717,1.5
2.169173316162773,1.5
2.1767637900448693,1.5
2.1864959914622264,1.5
2.2004100309258123,1.5
2.211496235651202,1.5
2.2197982224792314,1.5
2.216986506797632,1.5
2.227554702560618,1.5
2.2378121536447337,1.5
2.2438503157614456,1.5
2.2544011930545587,1.5
2.1972632665002685,1.5
2.136912046744396,1.5
2.1211404273475822,1.5
2.0911784311677715,1.5
2.093455170421029,1.5
2.09578566109423,1.5
2.094750478981785,1.5
2.102816116361069,1.5
2.109022369603513,1.5
2.111518159032617,1.5
2.118885780913261,1.5
2.132553173401178,1.5
2.134889413960282,1.5
2.139781561538106,1.5
2.1405832769329973,1.5
2.151385575328596,1.5
2.1636403979579715,1.5
2.17366353012896,1.5
2.185541138274752,1.5
2.148944635605628,1.5
2.148644437626232,1.5
2.108056304719492,1.5
2.113667189774872,1.5
2.043908801725203,1.5
2.0448004407839826,1.5
2.05074743372541,1.5
2.055885904261306,1.5
2.059539738420904,1.5
2.0591018719420893,1.5
2.06133873725028,1.5
2.066554972711355,1.5
2.071669263916438,1.5
2.0569332549908856,1.5
2.0556418841868056,1.5
2.0523406194925795,1.5
2.013851760609006,1.5
2.0199501130974715,1.5
2.023554188985928,1.5
2.029455181663888,1.5
2.034403885493473,1.5
2.0397608482585707,1.5
2.044313883308121,1.5
2.04659939686156,1.5
2.032861925516817,1.5
2.03276965440863,1.5
2.03764538669653,1.5
2.0427898325959504,1.5
2.041386808593985,1.5
2.041349425203117,1.5
2.046945329699865,1.5
2.0465563475000272,1.5
2.0526468448121875,1.5
2.0584434690102658,1.5
2.0555114508014145,1.5
2.0611699316636733,1.5
2.0402819605041174,1.5
2.0430175581132333,1.5
2.041510671064575,1.5
2.0383083711636845,1.5
2.040605215203568,1.5
2.0448810790484564,1.5
2.0452691866537007,1.5
2.0513145306668084,1.5
2.057100543625196,1.5
2.0573606444702506,1.5
2.062601482170068,1.5
2.061063558939224,1.5
2.0663691606777754,1.5
2.06982458129524,1.5
2.0745384382824903,1.5
1.9957686960800816,1.5
1.9986126554994528,1.5
1.992661164819158,1.5
1.994884220085618,1.5
2.000065321817821,1.5
2.0044503056744656,1.5
2.009396298057985,1.5
2.0093786253958785,1.5
2.007962281477528,1.5
1.9807387720490064,1.5
1.9663271061668937,1.5
1.97101879915652,1.5
1.975730130154413,1.5
1.971548606463795,1.5
1.976203430511444,1.5
1.9813797466381904,1.5
1.9813295645217044,1.5
1.972483964858832,1.5
1.976918135896422,1.5
1.9806392085403937,1.5
1.982785505799344,1.5
1.9869755910074576,1.5
1.9915093897279847,1.5
1.990017312089969,1.5
1.994400785901281,1.5
1.9921103521540569,1.5
1.995409806099432,1.5
1.975437705562006,1.5
1.979762627318865,1.5
1.983823548454703,1.5
1.987908664621196,1.5
1.991771263834016,1.5
1.995853635044892,1.5
1.998818071546192,1.5
2.0030128578798294,1.5
2.00630354484712,1.5
2.0104204874902583,1.5
2.0152990908286643,1.5
2.0172000979664824,1.5
2.02148505893029,1.5
2.016498583049448,1.5
2.0202950609146395,1.5
2.0075777860785164,1.5
2.011172416146122,1.5
2.010839205648902,1.5
2.0134634040344173,1.5
1.924725221576178,1.5
1.9281292855801253,1.5
1.9244803175257368,1.5
1.9270865851516423,1.5
1.9302301188639155,1.5
1.9334328450571736,1.5
1.9317767636779344,1.5
1.9022233052675328,1.5
1.9056807198324035,1.5
1.907664060645296,1.5
1.908481285116687,1.5
1.9070087313570296,1.5
1.910142937532649,1.5
1.8984711901273628,1.5
1.902230894403636,1.5
1.90284218474694,1.5
1.9064017365704853,1.5
1.907584075538408,1.5
1.908316675477188,1.5
1.9113123721542564,1.5
1.91502348419242,1.5
1.9140883524822063,1.5
1.917351718548764,1.5
1.9160613368793875,1.5
1.9184672600714767,1.5
1.9179255111252969,1.5
1.9216075963286647,1.5
1.9248397627021163,1.5
1.927911898638747,1.5
1.930893781114419,1.5
1.934373592618008,1.5
1.9356301123006976,1.5
1.938635018987076,1.5
1.940378597989233,1.5
1.943970945142008,1.5
1.9475417354892912,1.5
1.9459227486985933,1.5
1.9490217262911795,1.5
1.947736155410148,1.5
1.9511601358208457,1.5
1.9544859246839903,1.5
1.9569271873718288,1.5
1.937439770158184,1.5
1.940755917664124,1.5
1.943538369164877,1.5
1.9464835597686896,1.5
1.9499397397810727,1.5
1.9527160602382123,1.5
1.9558808167854635,1.5
1.956476993263188,1.5
1.959768103911553,1.5
1.9631042905140847,1.5
1.9646342849678613,1.5
1.9678181776953327,1.5
1.969026274765654,1.5
1.9720467202537373,1.5
1.975454216605276,1.5
1.9781137733453684,1.5
1.980988594782356,1.5
1.9836002045620968,1.5
1.972017753087118,1.5
1.9752875728679264,1.5
1.975179232414732,1.5
1.9667597576180185,1.5
1.968643361306664,1.5
1.9348499221798552,1.5
1.937863665959901,1.5
1.940613253672972,1.5
1.9308866074243127,1.5
1.9338842367632127,1.5
1.9361575407210825,1.5
1.9391386116918,1.5
1.933732064774798,1.5
1.9042920325251949,1.5
1.9065808334180112,1.5
1.9048819955456384,1.5
1.907412877422124,1.5
1.910174116993772,1.5
1.90196197329896,1.5
1.9028577972381129,1.5
1.905484376962012,1.5
1.9070207615888333,1.5
1.9100523163796777,1.5
1.8927040235576549,1.5
1.8914167295502573,1.5
1.892166630029948,1.5
1.892557337552348,1.5
1.894932218016478,1.5
1.8942456731335928,1.5
1.897348880857311,1.5
1.8952917231202828,1.5
1.8815382048589817,1.5
1.8836457485824525,1.5
1.8864154650860028,1.5
1.886483804821533,1.5
1.8892759854580103,1.5
1.8894146354812704,1.5
1.8916515306622184,1.5
1.886060852469655,1.5
