RMSE,Variance
2.880615937435138,57806.79529144298
2.7242133556741868,57374.17454961524
1.6375781490737296,34063.2320581884
1.648362300514272,31772.988337250248
1.5045174664579322,37164.96189150722
1.44402284556895,27405.50595455763
1.430967603268018,26182.942894479314
1.414852285386919,23286.30933191058
1.3904210663821637,21377.3878291349
1.3333540201120864,19335.949864686336
1.2688409595889985,26737.962301380165
1.2737266806609528,25519.59412447957
1.2764496313596754,23961.84600801883
1.2768136299630153,23124.30772635296
1.2866182201592806,21245.77941764082
1.259413574329464,24152.09511405075
1.2613779253661417,23013.09481215077
1.255143462936808,22154.79780377456
1.2573471234781086,21484.988637180413
1.2589899378459124,20820.6557959295
1.2314776226534658,19894.10382620997
1.2299353295704092,19174.75077199083
1.2598479675232137,18082.10916597619
1.3186357604052852,21035.639905455155
1.1651742669154503,26130.26906594305
1.165563848978421,25578.876817796503
1.120982189414844,25868.559997037926
0.9825961381197176,25839.96550566771
0.9857156644880944,25224.84182868895
0.9909457964717524,24638.68223983564
0.9884711273407945,23689.86628166557
0.9802675721074194,23280.83320165598
0.9813011207339838,22757.505271419388
0.9813319681897756,21980.51210499181
0.961325097226112,20972.52059758753
0.9523787440005668,20511.89571239198
0.9371617481428848,19600.5079173864
0.9339920340594148,19032.65354989244
0.9307409892730202,18456.353458433256
0.9143179825004154,18244.34932667983
0.9124253418594426,17984.76397787879
0.8630391246225637,20404.49470348916
0.8359335986190508,20191.532071562702
0.7970779744068645,20252.59473237752
0.77610596716391,19745.87137995749
0.7750291275880309,19532.727461133185
0.7669197576130625,19199.022052852164
0.765218912448732,18949.15135993857
0.7430351972881936,19177.667254849275
0.7421006898304228,19003.23781996373
0.7423220204629191,18549.6876910085
0.7133230919709928,18309.10850613297
0.701599867551436,17830.662893061395
0.693093647180065,17407.942560399235
0.6922195117643305,17224.649915849397
0.6815586287717591,16934.998157092487
0.668122851685887,17867.081908467866
0.6610993452389334,17571.100511149863
0.6615845193737337,17427.352166560806
0.6517447162846856,16726.63358560697
0.6245280847303442,15966.694430063071
0.608845223797834,15990.590698825108
0.6047571837426419,15782.97683779178
0.6074232957052087,15860.95709428646
0.6060473345485292,15725.965787131703
0.5225548189493764,15988.791591793137
0.522380098968488,15712.393901512603
0.5206185519252794,15538.168813992475
0.520040597538597,15323.695660181707
0.5200104688678067,15009.38490164624
0.5197299358292812,14799.080739208888
0.5172737933802181,14731.293674753786
0.5162763162414215,14567.189185307516
0.5131803274326269,14431.681890338194
0.5094265332391351,14125.321805410527
0.5027527889172704,13554.746279717116
0.4995892411522846,13155.581829201636
0.4977217599458094,13035.18006230592
0.4950240917772386,12965.832601360757
0.4947516417440394,12781.88801182512
0.4942553969728467,13029.6424787917
0.4964819925181017,13976.798785371606
0.4943337412705548,13810.68483715624
0.5049412388397075,14222.319146819216
0.5042145789663607,14085.462641343678
0.5041926816954148,15090.56423017093
0.4754782908178648,15274.399939934214
0.4683514162886476,15875.18833190931
0.4683829064556463,15641.5997605643
0.4655935452943488,15407.242882488075
0.459747544337273,15129.376130420518
0.4551584920343587,14983.97478942062
0.4528250472644372,14747.393984746226
0.4469896347900672,15366.590298144323
0.4450195335329779,15320.618617594926
0.4419341207618211,15196.15684208842
0.4417649443303891,14987.32999579543
0.4482760996280283,15244.351258095014
0.4454383293904984,15073.242397400889
0.4434309699333233,14821.351375610728
0.4444646164591572,14673.597935533611
0.4451971869909046,14546.769110022577
0.4439744411988983,14415.591006506302
0.441749824000844,14233.936006633923
0.4411229216090532,14041.898592657504
0.4406441406724847,13845.566157707804
0.4365817859192055,13691.28862442916
0.4364600928913091,13546.896651265302
0.431437457445188,13424.737856366402
0.4314134825210556,13320.533522975134
0.4308639390303693,13113.882557631465
0.4174402967738857,13090.998755139924
0.4164559706654565,12961.923097170342
0.416659008714555,12799.449919863271
0.4164593946968228,12667.085509353004
0.4161125285927804,12522.956124095384
0.4178829559188508,12510.691149237127
0.4049228002023304,12742.53353014935
0.4048966116937851,12753.009227816045
0.4035471556912036,12632.6202216734
0.4031155415804248,12480.580707923851
0.4006572448535903,12441.332476482989
0.4000756044686064,12370.150189967622
0.4007330385233894,12315.782227776384
0.3928011293918896,12550.494254659909
0.3892662125807819,12647.639564117204
0.3867509960870872,12436.080220535232
0.386001861682711,12369.98325922955
0.382995321869998,12303.559112336308
0.3825850982318585,12190.781050542986
0.3813348398528942,12085.85363494093
0.377869120574948,11969.3216289775
0.3759548795640923,11876.2216620343
0.3748243902229466,12408.35761444756
0.3720759884842247,12265.843237558023
0.3720385583824584,12154.122149057564
0.3705498821249208,11951.35437132887
0.3702227152863377,11782.964235198762
0.3553260001852945,11928.878295666802
0.3563676880488433,11826.477628770768
0.3551847335633308,11736.908042027111
0.3530455440797812,11552.92557743113
0.3511610211314239,11448.426146404216
0.3500460702601906,11306.404173561628
0.3470498956734831,11279.690538589017
0.3487770695804689,11190.658390144892
0.339087711189433,11153.178585007416
0.3326393636910341,11937.8343289852
0.3325435867241224,11798.31151872995
0.3308152345233226,11750.208849506069
0.3303016495484468,11673.56155961366
0.3285492226168606,11533.047455527663
0.3285548722239248,11424.00869552038
0.3277606039517845,11308.159054461645
0.3277250463703336,11118.844619704274
0.3278422333737094,10989.422286569874
0.3120386419138721,11323.520010545686
0.3118398720346047,11201.652641838606
0.3107023548403436,11050.666181321223
0.3120832438053707,11182.235123709246
0.3118287847529684,11071.988558184186
0.2977344747832195,12095.737768554738
0.2979240613380919,11931.529706145098
0.2955664322115968,11850.321532835243
0.2954426520283545,11733.446408064085
