theta,omega
-2.8242600623180967,-0.0909090909090908
2.633860507555079,0.8383838383838385
-3.141592653589793,-1.0
-1.8087957702486688,1.0
3.141592653589793,1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
-1.9991953250116865,1.0
3.141592653589793,1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-1.5549296972313116,1.0
3.141592653589793,1.0
-2.0626618432660258,1.0
-3.141592653589793,-1.0
3.141592653589793,1.0
3.141592653589793,1.0
3.141592653589793,1.0
1.3010636242139553,-1.0
-3.141592653589793,-1.0
-2.697327025809418,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
2.253061398029044,-1.0
-3.141592653589793,-1.0
1.4914631789769723,-1.0
-3.141592653589793,1.0
-2.8242600623180967,1.0
3.141592653589793,-1.0
-3.141592653589793,-1.0
1.8087957702486688,-1.0
-1.872262288503008,1.0
-0.9202645146879188,1.0
3.141592653589793,1.0
2.379994434537722,-1.0
2.887726580572436,-1.0
-0.6029319234162229,1.0
1.5549296972313122,-1.0
-3.141592653589793,-1.0
-0.9202645146879188,1.0
2.316527916283383,-1.0
3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,-1.0
1.0471975511965983,-1.0
-0.9837310329422584,1.0
3.141592653589793,-1.0
3.141592653589793,1.0
3.141592653589793,-1.0
1.0471975511965983,-1.0
3.141592653589793,-1.0
0.7298649599249014,-1.0
2.189594879774704,-1.0
3.141592653589793,-1.0
-3.141592653589793,0.4141414141414143
-3.141592653589793,1.0
0.1586662956358484,1.0
-3.141592653589793,1.0
-3.141592653589793,-1.0
-3.141592653589793,0.8585858585858588
3.141592653589793,-1.0
0.3490658503988659,1.0
-2.0626618432660258,1.0
-3.141592653589793,1.0
-3.141592653589793,1.0
0.1586662956358484,-1.0
3.141592653589793,-1.0
0.3490658503988659,1.0
-3.141592653589793,1.0
3.141592653589793,-1.0
-1.7453292519943295,1.0
-0.2221328138901874,-1.0
-3.141592653589793,-1.0
3.141592653589793,-1.0
-3.141592653589793,1.0
3.141592653589793,-0.9191919191919192
3.141592653589793,-0.2323232323232322
0.4125323686532054,1.0
-3.141592653589793,0.3131313131313131
-3.141592653589793,1.0
3.141592653589793,-1.0
3.141592653589793,0.3131313131313131
3.141592653589793,-1.0
3.141592653589793,-1.0
3.141592653589793,-1.0
3.141592653589793,-1.0
3.141592653589793,0.6161616161616164
-3.141592653589793,1.0
-3.141592653589793,-1.0
0.8567979964335799,1.0
1.745329251994329,-1.0
3.141592653589793,-0.2727272727272727
-3.141592653589793,0.191919191919192
-3.141592653589793,-1.0
3.141592653589793,0.7171717171717173
-3.141592653589793,1.0
-3.141592653589793,-0.898989898989899
3.141592653589793,-1.0
3.141592653589793,-1.0
-0.8567979964335799,-0.5757575757575757
-3.141592653589793,-1.0
-2.126128361520365,1.0
-3.141592653589793,1.0
-0.666398441670562,-0.7777777777777778
3.141592653589793,1.0
1.2375971059596154,-1.0
3.141592653589793,-0.5959595959595959
3.141592653589793,-1.0
-3.141592653589793,1.0
-3.141592653589793,1.0
-1.935728806757348,1.0
