RMSE,Variance,Train_RMSE
1.899080543709461,306849.44,1.866834507851352
2.0680381703544297,394317.3125,2.0421125264248383
1.4241518858855169,220918.1875,1.3893213856925477
1.4032579292129914,271652.28125,1.37115844370356
1.1209685413427548,221505.78125,1.094392187515988
1.2308583433125633,149769.109375,1.1919938652533726
1.3203864452020635,217745.734375,1.2904675031631667
1.1332008041769437,115131.7890625,1.1104248737291724
1.24017416262694,182158.328125,1.231040455961382
1.1198374589895312,266136.25,1.1048437261950623
1.1018261887795224,261605.5625,1.0866008503081457
1.08871510380949,257733.8125,1.074066027187773
1.0961814236648009,275857.75,1.082825578655061
1.1555948093134816,188698.828125,1.1471866899885177
1.1063988358690793,193737.453125,1.0974388590069375
1.129431076282291,197870.578125,1.1200999412512798
1.147075178573421,193699.265625,1.138019929477052
1.2247794793732012,72916.125,1.216413392794364
1.1222608806220364,194808.59375,1.1138737840385986
1.102399412906385,193062.890625,1.0937977557442558
1.1103233515981217,188013.078125,1.101824958463223
1.0912002909634246,186849.734375,1.0831083197481453
1.0346828467643627,156823.984375,1.0276374615554678
1.086627879524062,185419.6875,1.078534139940665
1.0554283246541591,203430.125,1.0430443984791369
1.0352540309822964,202807.65625,1.022322132827791
1.1014254162090378,176017.6875,1.0934149210074529
1.0277403573746842,177480.890625,1.0173433408033423
1.037701865785272,142991.578125,1.0301552929746498
1.0609019133326585,156458.59375,1.053215343172887
1.0686855893195877,131379.96875,1.0630282887784543
1.0827210723033978,148546.703125,1.0757916245414707
1.084688468623908,145739.015625,1.0781200675955651
0.9683584412005212,118458.09375,0.9615490919196472
1.114660478281667,160661.09375,1.105529685210655
0.9683652625186496,116985.8828125,0.9605470087755524
0.8185837743217296,118539.203125,0.8055787586731118
0.777780799342631,120132.8046875,0.7664796289738136
1.0646601910345943,186908.703125,1.056615462717561
0.9915039687182682,186383.25,0.9832571007337928
1.0099083954667265,178675.921875,1.0033462512581273
0.9938499509123724,173661.40625,0.9873336000369612
1.0074407378864738,179136.640625,0.9995212580284348
1.0234206629309903,176438.875,1.0163216476576773
0.7640505572944886,126853.2421875,0.7560982058342314
0.948818309246038,149797.6875,0.941818257723728
1.0236244616576544,166346.71875,1.016792871858522
0.9807729824705828,151929.578125,0.9742085915083346
0.790941267567586,118019.5390625,0.7840286104201587
1.03773128835324,162596.234375,1.0313985311636975
0.9743134698100316,146039.296875,0.968298899556015
0.9082094063973464,172495.21875,0.901418646402017
0.5677693813185689,54404.7890625,0.5606500698441373
0.7363679432545857,117488.4765625,0.7329922456464676
0.5856084214405795,44373.14453125,0.5802315617466363
0.882646656662446,163867.546875,0.8754183411763036
0.9973080083769928,185742.3125,0.98961464411501
0.749586774206741,115801.546875,0.7473233612293796
0.7649274764105668,112898.4453125,0.7636304744208493
0.649667984173706,53359.28125,0.645894933240602
0.6663938024796124,119770.9375,0.66030693866624
0.5936613596263098,99609.03125,0.5912216636667361
0.7813475722763622,115700.765625,0.7733040159525728
0.5594958812284292,36005.98046875,0.5515650563032444
0.5945457427207598,48835.1875,0.5883824434636301
0.5908463090921788,39525.8125,0.5825878107435122
0.6218859722987136,49065.67578125,0.6146272011935383
0.6131353699336707,51241.88671875,0.6064356457373937
0.6223372362476455,52000.1953125,0.6171613615269582
0.6099387596916628,59691.77734375,0.6040154674470486
0.6041583801202037,60577.39453125,0.600175164204723
0.6025668559283259,61617.07421875,0.5985947823757463
0.5990760677309426,60149.48046875,0.5947912092853933
0.5961299759376202,59875.58203125,0.5917211791112243
0.6029800881303488,59109.48046875,0.5985442409384917
0.6216574229889948,61487.8203125,0.6167346477293008
0.6272152304416638,60221.76953125,0.622403498117061
0.6379216792578041,57012.41015625,0.63452150566021
0.6053024224283694,58443.82421875,0.598522644174482
0.62838566075335,58053.7890625,0.6222834531860706
0.5901235332793511,57824.125,0.5848394391798564
0.5877527441552199,56402.58984375,0.582149661785074
0.5311585501905297,65485.3203125,0.52295590876588
0.5627911908170511,55433.20703125,0.5567879596988766
0.513710690305103,66727.0234375,0.5049271800963929
0.5108980307161561,64324.55859375,0.5021379896851942
0.4600835005793509,75659.34375,0.4543576166365548
0.4630719605619917,73849.4453125,0.4572969864065486
0.4618765955700605,73747.59375,0.4563011882949018
0.4543653795894891,72739.640625,0.4484868967543396
0.4410859258158151,73728.046875,0.4346894729609418
0.4497852895110096,72662.59375,0.4439249965202373
0.4458628788174228,69747.8203125,0.4396793144456186
0.442351843287236,72144.0078125,0.4367263264395117
0.4318248223378675,70983.0,0.426597700391705
0.4499807176622669,67306.7421875,0.4452712339070162
0.4438094257915656,69009.6015625,0.4388419383135845
0.4510155190879255,65093.63671875,0.4463119823651077
0.4403052219941544,70016.6015625,0.4355760006869242
0.4341070642905545,70450.0078125,0.4291118071880668
0.4501942910078461,68201.3203125,0.4458211959161209
0.4399757866467173,68564.78125,0.4357938495786855
0.4580646403550448,64704.0234375,0.4547954269715717
0.4587282498100873,49626.12109375,0.4536908281095748
0.4440387968610457,66574.109375,0.4406159000306061
0.4412095063375592,65706.1796875,0.4375997184012976
0.4357677282327645,66137.1328125,0.4321919080483087
0.4244197164213953,75965.2421875,0.4209445747969838
0.4214083395771173,74873.171875,0.4179070950019743
0.4194860319094195,80166.7734375,0.4161883407165762
0.4124883402088657,79525.34375,0.4090166582050896
0.4152226658755701,77376.953125,0.4118052782522409
0.4267460084216431,80816.7890625,0.4235290533036713
0.4232570514647719,79000.0625,0.4199488663712586
0.4295050898237666,79068.8203125,0.426366893859291
0.8557636358930435,181886.453125,0.8442041769678409
