length_scale,nu
3.649264808300104,1.5
3.649264808300104,1.5
4.391737994488259,1.5
5.005772047888022,1.5
4.7143093304775325,1.5
4.84976491236084,1.5
3.777828537864725,1.5
3.9213106867429706,1.5
3.986991554784301,1.5
3.184277803126819,1.5
2.8504103892248027,1.5
2.608378996400929,1.5
2.574270889382168,1.5
2.379454280517828,1.5
2.420783874063132,1.5
2.437363245908725,1.5
2.2077952722857903,1.5
2.207205481347186,1.5
2.2179645700464405,1.5
2.219005485676996,1.5
2.2372621060395006,1.5
2.242069240849868,1.5
2.2644975736086246,1.5
2.207608840462158,1.5
2.215411740003167,1.5
2.236901772391536,1.5
2.2005420074875235,1.5
2.191349372174232,1.5
2.204778256934776,1.5
2.215984128215387,1.5
2.225270688684524,1.5
2.145935073673098,1.5
2.151983111130802,1.5
2.151070334547792,1.5
2.159895163056861,1.5
2.163596518744461,1.5
2.1688497266587703,1.5
2.176609707305848,1.5
2.166872515952869,1.5
2.179396457851704,1.5
2.18399315153834,1.5
2.127191163721109,1.5
2.1275283551920854,1.5
2.1336785267099048,1.5
2.1385814860063905,1.5
2.147771301272324,1.5
2.1477843376650894,1.5
2.1562940225202656,1.5
2.113950797532305,1.5
2.124347636928514,1.5
2.1313912519444687,1.5
2.127014554899105,1.5
2.0847191144009294,1.5
2.0981763475088093,1.5
2.1047900936054305,1.5
2.0968832922605194,1.5
2.099641963585513,1.5
2.106474350368204,1.5
2.112823221946828,1.5
2.121952261307783,1.5
2.12984936276852,1.5
2.128814440324845,1.5
2.135227789604253,1.5
2.142385171216404,1.5
2.137948880834689,1.5
2.1358362890354377,1.5
2.1365140788038945,1.5
2.127824939486563,1.5
2.079495357923548,1.5
2.0581942659605548,1.5
2.066215708397568,1.5
2.0669684426089634,1.5
2.06336750973113,1.5
2.0676838360856977,1.5
2.0717409417052126,1.5
2.076957461393816,1.5
2.082827028157783,1.5
2.0899876930872723,1.5
2.097163935473778,1.5
2.102836079690008,1.5
2.100145443153344,1.5
2.0532998387744312,1.5
2.055291263497932,1.5
2.0612343068713206,1.5
2.0669546040803635,1.5
2.0705357406757385,1.5
2.0729689389498853,1.5
2.077537860334181,1.5
2.060508866167727,1.5
2.0659717236033983,1.5
2.0728198240754896,1.5
2.0558999904936,1.5
2.06215483904619,1.5
2.068080308344823,1.5
2.030944901128388,1.5
2.036441638783648,1.5
2.0398654724077843,1.5
2.043462320497585,1.5
2.0487825139123754,1.5
2.054111904642814,1.5
2.0472670439103062,1.5
2.037981245112061,1.5
2.039364386323521,1.5
2.0008679113132235,1.5
1.9998011919540708,1.5
2.001095659921822,1.5
2.0019574607727257,1.5
2.0035936721480403,1.5
2.0072455297088547,1.5
2.0123936699493568,1.5
2.0156120673839526,1.5
2.0125595706261348,1.5
2.015691428250676,1.5
2.017488788112437,1.5
2.023598613592064,1.5
2.02843006545254,1.5
2.0329524616453583,1.5
1.9902417302508608,1.5
1.973361533069868,1.5
1.951374149142669,1.5
1.9551952784301707,1.5
1.953720041617212,1.5
1.955670075785085,1.5
1.960055201665607,1.5
1.964815697604328,1.5
1.9682451015556188,1.5
1.9652972636259527,1.5
1.969134784442789,1.5
1.967488771718112,1.5
1.971605807922011,1.5
1.974153035490002,1.5
1.9765676071940792,1.5
1.9743934234212408,1.5
1.978625714823213,1.5
1.9829632952787144,1.5
1.968092547674836,1.5
1.9721318121399407,1.5
1.97581962055364,1.5
1.979190494967155,1.5
1.9821974695944504,1.5
1.970968962965757,1.5
1.970727430598364,1.5
1.9745497725551835,1.5
1.976955656673504,1.5
1.9807812962325788,1.5
1.9848954263685272,1.5
1.973400556707368,1.5
1.97747120909456,1.5
1.9812815706095603,1.5
1.9856839404761115,1.5
1.9877820064017988,1.5
1.9914221226385929,1.5
1.9955118371962075,1.5
1.9884834928466328,1.5
1.991920473837552,1.5
1.995081525703053,1.5
1.998605999906628,1.5
2.001065430335794,1.5
2.0001030258845724,1.5
1.983697400896288,1.5
1.9861823761525563,1.5
1.979986006189785,1.5
1.9840313295744545,1.5
1.9877305630148867,1.5
1.9915446310442035,1.5
1.9761703985089447,1.5
1.9797557469865268,1.5
1.979223073707532,1.5
1.9465150939697056,1.5
1.949628420112845,1.5
1.951255017780045,1.5
1.9525371901627573,1.5
1.943989539795396,1.5
1.9465522936944315,1.5
1.949378190713818,1.5
1.9532871829723624,1.5
1.956982921484167,1.5
1.9604198570636664,1.5
1.963708463575899,1.5
1.9667096835633813,1.5
1.970319249923281,1.5
1.973509727459084,1.5
1.974791685405875,1.5
1.978308059146319,1.5
1.977350879453959,1.5
1.9782550562219607,1.5
1.979344038275036,1.5
1.980152152301028,1.5
1.9829513922046875,1.5
1.985220885837952,1.5
1.9878138722312373,1.5
1.986056485128012,1.5
1.9890403065140605,1.5
1.9911726302688115,1.5
1.9940858009833424,1.5
1.9976971122572231,1.5
2.000928652865937,1.5
2.003672071258225,1.5
2.006556061012157,1.5
2.0048415144024614,1.5
2.008194313235984,1.5
2.010416559579116,1.5
2.002216153419515,1.5
2.004146634191037,1.5
2.007658287560288,1.5
2.001660476162642,1.5
2.000769443808397,1.5
1.9880339614913136,1.5
1.9910862015396893,1.5
1.994386827141752,1.5
1.9977801735432004,1.5
1.999895352075588,1.5
2.0016546118755616,1.5
1.974517340980821,1.5
1.9764843625837365,1.5
1.9797485487348605,1.5
1.9740481953182496,1.5
1.973909006186562,1.5
1.9763451580410425,1.5
1.977212983814916,1.5
1.980599560279904,1.5
1.9809580415052668,1.5
1.9837105639462955,1.5
1.9866202721950883,1.5
1.9893910624413995,1.5
1.9927342682020024,1.5
1.9959413417443013,1.5
1.9989725673735752,1.5
2.001720507892633,1.5
2.0028828419235625,1.5
2.005764488554405,1.5
2.006923372758977,1.5
1.994602571016872,1.5
1.9973075943290504,1.5
2.000684292299804,1.5
2.002993844855889,1.5
2.0058098922504857,1.5
2.008832909911078,1.5
2.011885213850416,1.5
1.998246019931194,1.5
2.000934809079284,1.5
2.003956978701288,1.5
2.0070344743320887,1.5
2.008205080612145,1.5
1.9804288360207785,1.5
1.9759345984622048,1.5
1.9637286922757748,1.5
1.966375454502037,1.5
1.9687123239986173,1.5
1.971077559507324,1.5
1.949311112913324,1.5
1.95204327407686,1.5
1.950979264774896,1.5
1.95384726891434,1.5
1.956687404062544,1.5
1.959590943947684,1.5
1.9586705845431884,1.5
1.96146016619644,1.5
1.9638598516018533,1.5
1.957072914778651,1.5
1.9594934692214043,1.5
1.9598908936580224,1.5
1.9620610113709889,1.5
1.9645367468340524,1.5
1.9582654327711544,1.5
1.960973695797668,1.5
1.958260547953056,1.5
1.9609874571623616,1.5
1.9637058067097308,1.5
1.9647043038558856,1.5
1.9570700300907464,1.5
1.95872534300804,1.5
1.9596435667607632,1.5
1.962274285179609,1.5
1.9625519938454865,1.5
1.9650675943354976,1.5
1.96736122693099,1.5
1.9700342315757835,1.5
1.972660281788421,1.5
1.9753892109667168,1.5
1.972986398606704,1.5
1.975467451614109,1.5
1.9777192206334904,1.5
1.9820175848719013,1.5
1.983326477459973,1.5
1.9858596794417056,1.5
1.9878928767453,1.5
1.9904574077002977,1.5
1.9930744068017912,1.5
1.995706899103612,1.5
1.998422216130873,1.5
2.00087119178426,1.5
2.00325490740436,1.5
2.005687928805791,1.5
1.9857045109795668,1.5
1.9860697634552469,1.5
1.988583048994668,1.5
1.988837351334076,1.5
1.9676526648123625,1.5
1.9697561567852748,1.5
1.97143557055828,1.5
1.9739921560136,1.5
1.9756093697821029,1.5
1.9778918639147147,1.5
1.9788342518934416,1.5
1.980512957453493,1.5
1.9829919594195216,1.5
1.9849632897909115,1.5
1.983512552986695,1.5
1.984860631040971,1.5
1.987131665527175,1.5
1.9894592001096845,1.5
1.98087997160074,1.5
1.977629902592668,1.5
1.9770550270498404,1.5
1.9785082939099825,1.5
1.980509982134428,1.5
1.980791885438013,1.5
1.982994054590092,1.5
1.985325144460068,1.5
1.987358358141205,1.5
1.98970326367534,1.5
1.9904961164988009,1.5
1.9927615376540209,1.5
1.994868871016856,1.5
1.9968810926880527,1.5
1.987138856587952,1.5
1.9892705573271223,1.5
1.989365446786922,1.5
1.9914627681311043,1.5
1.980972474280725,1.5
1.9828125506091,1.5
